election,country,ISO,year,date,office,numresponses,COUNTRYDATA,PR,CL,fhcategory,development,gdp_pc_ppp,region,region9,oecd,OVERALLINTEGRITY,PEI_add_original_m,PEI_add_original,PEI_add_new_m,PEI_add_new,PEI_concept_m,PEI_contestation_m,PEI_participation_m,PEI_deliberation_m,PEI_adjudication_m,PEI_concept,PEI_contestation,PEI_participation,PEI_deliberation,PEI_adjudication,rating,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,certainty,changes,equal,enfranchised,laws,laws_m,laws_new,laws_new_m,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,procedures_m,procedures_new,procedures_new_m,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundaries_m,boundaries_new,boundaries_new_m,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,unlikelyreg,unlikelyreg2,votereg,votereg_m,voterreg_new,voterreg_new_m,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,equalopp,partytargeted,partytargeted2,partyreg,partyreg_m,partyreg_new,partyreg_new_m,MEDIACOVERAGE,balanced,tv,tv2,fairaccess,faircoverage,socialmedia,disinformation,disinformation2,informed,media,media_m,media_new,media_new_m,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,bribed,bribed2,finance,finance_m,finance_new,finance_new_m,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,disabled,expats,internet,gaps,gaps2,encouraged,identification,identification2,voting,voting_m,voting_new,voting_new_m,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,count_m,count_new,count_new_m,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,effective,results,results_m,results_new,results_new_m,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,targeted,targeted2,EMBs,EMBs_m,EMBs_new,EMBs_new_m,GENERALQUESTIONS,familiarity,important,ORGCONFIDENCE,courts,government,parliament,armedforces,electoralauth,BACKGROUND,expertdomestic,currentlylive,electionlive,employment,public,university,nonprofit,agency,private,occupation,agegroup,sex,education,born,lived,candidate,rep,activist,ngo,voted,norole,monitor,monitorint,official,citizen,leftrightscale,difficulty,VIGNETTES,vignettea,vignetteb,vignettec,vignetted,vignettee,vignettef,ROTATING,freetovote,fearviolence,fearviolence2,ballotconfidential,freefairelect,cashforvotes,cashforvotes2,patronage,patronage2,audit,hacking,campaignnews,govtnews,fakenews,fakenews2,hatespeech,hatespeech2,informedchoices,foreigninterference,foreigninterference2,mediamonitors,cyberattacks,cyberattacks2,diversenews,journalisticstandards,partisanjournalists,partisanjournalists2,fakesocial,fakesocial2,emergency,emergency2,safetyvoters,safetyworkers,safetyworkers2,opportunitycampaign,opportunitycampaign2,incumbentcampaign,incumbentcampaign2,postponed,postponed2,hesitant,hesitant2,support,shortage,shortage2,resourced,resourced2
COL_09032014_L1,Colombia,COL,2014.0,2014-03-09,Legislative,8.0,,3,4,1,3,13394.947,2,9,0,,62.147717,65.81633,,,61.287617,60.052082,51.661705,53.013393,80.42328,59.825306,59.179688,50.0,50.78125,79.34028,7.375,,2.2857144,3.7142856,2.75,3.25,1.75,4.25,,,,,70.2381,68.45238,,,,4.125,3.375,4.0,4.0,71.875,71.875,71.875,71.875,,1.8333334,4.1666665,2.2857144,3.7142856,3.8333333,75.0,72.61905,75.0,72.61905,,3.5,2.5,3.0,3.0,3.0,3.0,,,56.25,45.833332,,,,2.0,4.0,4.125,4.142857,2.2857144,3.7142856,2.375,3.625,,,,73.57143,73.03571,,,,3.125,3.5,2.5,3.857143,3.375,3.75,,,,59.285713,58.035713,,,,3.75,2.5714285,1.875,3.5714285,2.4285715,3.4285715,2.5714285,,,41.666668,40.982143,,,,3.142857,2.857143,3.875,2.125,2.5,3.4285715,2.3333333,4.125,1.7142857,,,,,,46.666664,47.371033,,,,3.75,4.5,4.0,1.6666666,4.3333335,1.6666666,4.3333335,77.0,79.583336,77.0,79.583336,,3.375,2.625,2.0,4.0,1.4285715,4.571429,4.428571,,71.875,72.65625,,,,4.0,4.125,4.0,4.125,,,76.5625,76.5625,,,,8.75,,,7.2,5.6,4.2,5.625,7.5,,,,,3.0,0.125,0.625,0.0,0.125,0.125,,,,,,,0.0,0.0,0.0,0.0,0.125,0.375,0.125,0.125,0.125,0.75,4.375,7.875,,4.375,5.875,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL_15062014_P2,Colombia,COL,2014.0,2014-06-15,Presidential,7.0,,3,4,1,3,13394.947,2,9,0,,54.627975,55.357143,,,57.19891,47.9375,56.87004,50.892857,73.09524,58.10268,48.184525,58.928574,50.892857,74.40476,7.285714,,2.8333333,3.1666667,2.8333333,3.1666667,1.8333334,4.1666665,,,,,65.0,62.5,,,,4.142857,4.142857,4.0,4.285714,78.57143,78.57143,78.57143,78.57143,,3.25,2.75,3.0,3.0,3.25,50.0,50.0,50.0,50.0,,4.0,2.0,3.5714285,2.4285715,3.75,2.25,,,27.083332,30.654762,,,,2.0,4.0,3.4285715,2.857143,3.2857144,2.7142856,2.5714285,3.4285715,,,,59.166668,57.142857,,,,2.4285715,3.7142856,2.2857144,2.7142856,2.7142856,3.5714285,,,,43.57143,43.57143,,,,3.4,2.5,1.6666666,3.1666667,2.8333333,4.0,2.0,,,40.0,37.0,,,,2.857143,3.142857,3.3333333,2.6666667,3.857143,3.7142856,2.25,4.285714,1.75,,,,,,55.208332,57.98611,,,,3.3333333,4.857143,4.3333335,2.0,4.0,2.2,3.8,72.5,76.61905,72.5,76.61905,,2.5714285,3.4285715,1.7142857,4.285714,1.5714285,4.428571,3.6,,68.75,73.39286,,,,4.1666665,4.142857,3.857143,4.1666665,,,77.083336,77.083336,,,,8.714286,,,6.6,5.0,3.8,4.857143,6.714286,,,,,2.8333333,0.0,0.5714286,0.14285715,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.14285715,0.42857143,0.0,0.0,0.14285715,0.85714287,5.142857,8.714286,,5.0,6.285714,6.428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL_11032018_L1,Colombia,COL,2018.0,2018-03-11,Legislative,8.0,,3,3,1,3,13254.94921875,2,9,0,,60.335762,,,,61.594784,52.525795,50.533234,66.51785,76.802246,61.94987,53.528645,51.12847,67.96875,75.173615,6.375,,2.375,3.625,2.0,4.0,2.0,4.0,,,,,71.875,71.875,,,,3.375,4.125,3.3333333,3.625,62.5,65.364586,62.5,65.364586,,2.4,3.6,1.8333334,4.1666665,4.0,73.333336,73.05556,73.333336,73.05556,,2.8333333,3.1666667,2.5,3.5,3.0,3.0,,,47.916668,55.555557,,,,1.875,4.125,3.125,3.142857,2.0,4.0,4.0,2.0,,,,53.57143,56.964287,,,,3.0,2.857143,3.142857,2.6666667,3.0,4.5,,,,57.5,56.54762,,,,4.428571,3.142857,1.4285715,3.2857144,2.7142856,3.8333333,2.1666667,4.125,1.875,45.0,44.404762,40.833332,40.649803,,3.5714285,2.4285715,4.142857,1.8571428,2.875,4.25,2.5,4.0,1.0,,,,,,45.833336,49.627975,,,,3.75,4.625,4.0,1.6666666,4.3333335,1.6666666,4.3333335,77.5,80.208336,77.5,80.208336,,2.7142856,3.2857144,2.0,4.0,1.5714285,4.428571,4.285714,,73.958336,75.0,,,,3.375,3.857143,4.25,3.375,,,66.07143,67.85714,,,,8.625,,,6.25,5.5,4.375,5.5,6.875,,,,,3.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.875,4.5,8.0,,,,,7.125,5.75,3.0,,,,,,,,,,,,,,,3.2,3.2,3.2857144,3.2857144,4.0,3.5714285,3.5714285,3.0,2.5714285,2.5714285,3.625,3.142857,2.7142856,2.7142856,3.8333333,3.8333333,,,,,,,,,,,,,,,,,,
COL_17062018_P2,Colombia,COL,2018.0,2018-06-17,Presidential,5.0,,3,3,1,3,13254.94921875,2,9,0,,39.285713,,,,57.685764,45.8125,55.625,58.75,70.55556,57.98611,46.66667,55.0,60.0,70.27778,6.4,,2.6666667,3.3333333,3.75,2.25,2.0,4.0,,,,,58.333332,54.86111,,,,4.0,4.0,4.2,3.6,73.75,73.75,73.75,73.75,,3.0,3.0,3.0,3.0,3.0,50.0,50.0,50.0,50.0,,2.5,3.5,2.6,3.4,2.75,3.25,,,58.333332,59.583332,,,,2.75,3.25,3.6,2.4,2.25,3.75,3.2,2.8,,,,45.0,54.0,,,,2.8,3.0,3.0,2.8,2.8,2.75,,,,45.0,45.75,,,,3.2,2.25,2.2,4.0,2.0,3.25,2.75,2.75,3.25,36.666668,37.0,37.5,40.208332,,3.4,2.6,3.75,2.25,3.6,3.8,3.0,3.6,2.25,,,,,,62.5,53.541668,,,,3.2,3.8,3.4,2.0,4.0,2.0,4.0,75.0,67.0,75.0,67.0,,1.8,4.2,2.2,3.8,1.4,4.6,4.0,,78.75,78.75,,,,3.4,3.6,3.6,3.6,,,63.75,63.75,,,,9.4,,,6.6,5.6,4.4,4.6,7.2,,,,,3.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.6,3.8,8.2,,,,,8.0,6.4,4.0,,,,,,,,,,,,,,,3.4,3.4,4.0,4.0,3.5,3.75,3.75,3.25,2.6666667,2.6666667,3.8,3.0,2.6,2.6,4.4,4.4,,,,,,,,,,,,,,,,,,
COL_19062022_P2,Colombia,COL,2022.0,2022-06-19,Presidential,2.0,,3,3,1,3,16819.1762884735,2,9,1,,,,,,71.61458,63.541664,65.625,78.125,79.16667,70.88542,60.625,65.625,78.125,79.16667,8.0,,1.0,5.0,2.0,4.0,2.0,4.0,,,,,83.333336,83.333336,,,,4.0,4.5,4.0,4.0,78.125,78.125,78.125,78.125,,2.0,4.0,1.0,5.0,5.0,91.666664,91.666664,91.666664,91.666664,,4.5,1.5,4.0,2.0,,,,,,,,,,2.0,4.0,3.5,4.0,3.5,2.5,4.0,2.0,,,,55.0,55.0,,,,3.5,2.0,4.0,3.5,4.0,4.0,,,,70.0,70.0,,,,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,75.0,65.0,70.833336,62.5,,2.5,3.5,2.0,4.0,4.0,4.5,,4.5,5.0,,,,,,,,,,,4.0,5.0,4.0,2.0,4.0,2.0,4.0,80.0,80.0,80.0,80.0,,1.5,4.5,1.5,4.5,1.5,4.5,4.5,,87.5,87.5,,,,3.0,4.0,4.0,3.5,,,65.625,65.625,,,,7.5,,,7.0,3.5,4.5,3.0,5.0,,1.5,,,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,4.5,8.5,,,,,10.0,5.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,3.5,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,,1.5,4.5,1.5,4.5
COL_13032022_L1,Colombia,COL,2022.0,2022-03-13,Legislative,2.0,,3,3,1,3,16819.1762884735,2,9,1,,,,,,66.72309,58.906254,61.111107,71.875,75.0,66.358505,58.489586,60.069443,71.875,75.0,6.5,,3.0,3.0,2.5,3.5,3.0,3.0,,,,,54.166664,54.166664,,,,4.5,3.0,3.0,3.5,62.5,62.5,62.5,62.5,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,50.0,50.0,,,,1.5,4.5,3.0,3.0,1.5,4.5,2.5,3.5,,,,67.5,67.5,,,,3.5,3.0,3.0,3.0,4.5,4.0,,,,65.0,65.0,,,,2.0,3.0,1.5,2.5,3.5,2.0,4.0,3.0,3.0,40.0,45.0,41.666668,45.833336,,4.0,2.0,4.0,2.0,3.0,4.5,3.0,5.0,1.0,,,,,,58.333332,56.25,,,,3.0,2.5,2.5,1.5,4.5,1.5,4.5,60.0,60.0,60.0,60.0,,3.0,3.0,1.0,5.0,1.0,5.0,4.0,,81.25,81.25,,,,2.5,3.0,4.5,2.0,,,50.0,50.0,,,,9.0,,,6.5,7.0,4.0,5.0,4.5,,1.0,,,1.5,0.0,1.0,0.5,0.5,0.5,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,,,,,7.5,5.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,4.0,1.5,4.5,3.5,2.5,4.0,2.0,2.0,4.0,2.0,4.0,3.5,2.0,4.0,3.0,3.0
COM_22022015_L2,Comoros,COM,2015.0,2015-02-22,Legislative,5.0,,3,4,1,1,1504.526,1,1,0,,25.510204,25.510204,,,52.274303,45.34722,35.833332,57.083336,70.833336,55.37847,47.208336,40.0,63.75,70.55556,6.2,,1.6666666,4.3333335,2.8,3.2,1.3333334,4.6666665,,,,,83.333336,76.666664,,,,3.4,3.4,3.4,3.2,58.75,58.75,58.75,58.75,,3.0,3.0,3.0,3.0,3.0,50.0,50.0,50.0,50.0,,4.25,1.75,3.25,2.75,4.5,1.5,,,20.833334,25.0,,,,2.6,3.4,3.8,3.0,3.5,2.5,2.6,3.4,,,,20.0,55.5,,,,4.3333335,4.0,2.0,2.5,4.3333335,3.25,,,,60.0,57.083336,,,,2.25,2.2,1.8,3.6666667,2.3333333,4.3333335,1.6666666,,,0.0,26.25,,,,3.25,2.75,3.25,2.75,3.4,3.4,1.5,2.2,2.2,,,,,,27.083332,41.666668,,,,3.2,3.4,3.4,2.0,4.0,1.5,4.5,65.0,67.5,65.0,67.5,,3.75,2.25,2.75,3.25,2.2,3.8,4.2,,59.375,59.375,,,,3.0,3.6,3.8,3.4,,,61.25,61.25,,,,6.2,,,5.0,4.6,5.8,4.6,6.4,,,,,2.8,0.0,0.8,0.4,0.0,0.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,9.2,,6.0,8.4,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM_10042016_P2,Comoros,COM,2016.0,2016-04-10,Presidential,2.0,,3,4,1,1,1522.2557,1,1,0,,,,,,43.854164,57.708332,18.402779,56.25,43.055557,41.445312,54.322918,18.402779,50.0,43.055557,4.5,,1.0,5.0,2.0,4.0,1.0,5.0,,,,,91.666664,91.666664,,,,2.5,2.5,2.5,2.0,34.375,34.375,34.375,34.375,,,,1.0,5.0,1.0,,,,,,4.5,1.5,4.0,2.0,3.5,2.5,,,25.0,25.0,,,,2.0,4.0,3.5,5.0,3.5,2.5,3.5,2.5,,,,,62.5,,,,2.0,1.0,5.0,4.5,2.5,1.0,,,,40.0,50.0,,,,1.0,2.0,2.0,3.5,2.5,5.0,1.0,4.5,1.5,,17.5,,16.666666,,4.5,1.5,3.5,2.5,4.5,3.0,1.5,1.0,1.0,,,,,,33.333332,33.333332,,,,2.5,3.5,2.5,1.0,5.0,1.5,4.5,65.0,65.0,65.0,65.0,,4.5,1.5,4.5,1.5,2.5,3.5,2.5,,31.25,31.25,,,,1.5,4.0,1.5,2.0,,,31.25,31.25,,,,8.5,,,4.0,2.5,3.0,3.0,4.0,,,,,2.5,0.0,0.5,0.0,0.0,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,9.0,,6.0,6.5,5.5,,,,,1.5,4.0,4.0,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM_24032019_P1,Comoros,COM,2019.0,2019-03-24,Presidential,3.0,,4,4,1,2,3188.083106354641,1,1,0,,4.0816326,4.0816326,,,10.208333,11.666668,0.0,12.5,16.666668,22.060184,22.5,0.0,12.5,24.074074,1.0,,4.3333335,1.6666666,4.3333335,1.6666666,4.0,2.0,,,,,19.444445,19.444445,,,,2.0,2.0,2.0,1.6666666,22.916666,22.916666,22.916666,22.916666,,5.0,1.0,1.0,5.0,1.0,33.333332,33.333332,33.333332,33.333332,,5.0,1.0,5.0,1.0,5.0,1.0,,,0.0,0.0,,,,5.0,1.0,2.0,2.0,4.0,2.0,5.0,1.0,,,,15.0,15.0,,,,1.0,3.0,3.0,1.0,1.0,4.5,,,,27.5,27.5,,,,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,,,,2.0,1.0,1.0,3.5,2.5,3.5,2.5,20.0,20.0,20.0,20.0,,5.0,1.0,5.0,1.0,5.0,1.0,1.0,,0.0,0.0,,,,1.0,1.0,2.0,1.0,,,6.25,6.25,,,,10.0,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.0,0.33333334,0.0,0.33333334,0.0,,,,,,,0.0,0.0,0.0,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.6666667,6.0,9.5,,,,,10.0,1.0,1.0,,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,
COD_20122023_P1,"Congo, Democratic Republic of the",COD,2023.0,2023-12-20,Presidential,2.0,,7,6,0,1,1433.0,1,2,0,,,,,,41.514755,53.90625,51.041664,33.333336,27.777777,40.651043,53.125,49.0625,32.63889,27.777777,3.5,,2.0,4.0,2.5,3.5,2.0,4.0,3.0,2.0,4.0,4.0,75.0,70.83333,60.714287,62.5,,1.5,3.5,2.0,2.5,25.0,34.375,25.0,34.375,,,,,,,,,,,,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,,25.0,,25.0,,1.5,4.5,2.5,2.5,1.5,4.5,2.5,3.5,4.0,4.0,2.0,62.5,62.5,58.928574,58.928574,,1.5,4.0,2.0,3.0,1.0,4.5,5.0,1.0,1.5,40.0,35.0,28.571428,26.785713,,1.5,1.5,1.0,2.0,4.0,4.5,1.5,4.0,2.0,22.5,22.5,22.916666,22.916666,,3.5,2.5,4.0,2.0,3.0,4.0,1.5,4.0,1.0,4.0,2.0,4.0,2.5,3.5,45.833336,45.833336,47.5,41.25,,1.0,1.5,1.5,4.5,1.5,3.0,3.0,10.0,17.5,10.0,17.5,,4.5,1.5,4.0,2.0,2.0,4.0,2.5,1.5,37.5,37.5,32.5,32.5,,2.0,4.0,1.5,1.5,4.0,2.0,25.0,31.25,25.0,30.0,,8.0,,,4.0,3.0,3.0,3.5,3.5,,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,7.0,,,,,2.5,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG_05082012_L2,"Congo, Republic of",COG,2012.0,2012-08-05,Legislative,3.0,,6,5,0,2,5368.2671,1,2,0,,29.931973,29.931973,,,37.46528,26.249998,36.805557,47.916668,38.88889,37.46528,26.249998,36.805557,47.916668,38.88889,,,3.6666667,2.3333333,4.6666665,1.3333334,3.3333333,2.6666667,,,,,27.777777,27.777777,,,,2.3333333,2.6666667,2.6666667,2.3333333,37.5,37.5,37.5,37.5,,3.0,3.0,3.3333333,2.6666667,2.3333333,41.666668,41.666668,41.666668,41.666668,,4.3333335,1.6666666,4.0,2.0,4.6666665,1.3333334,,,16.666666,16.666666,,,,3.6666667,2.3333333,2.0,2.3333333,3.0,3.0,4.0,2.0,,,,33.333332,33.333332,,,,2.0,4.3333335,1.6666666,2.3333333,1.6666666,2.6666667,,,,26.666666,26.666666,,,,1.3333334,1.3333334,1.3333334,4.6666665,1.3333334,4.6666665,1.3333334,,,8.333333,8.333333,,,,3.3333333,2.6666667,4.3333335,1.6666666,3.6666667,4.0,3.0,2.6666667,1.5,,,,,,48.61111,48.61111,,,,2.3333333,1.6666666,1.6666666,3.6666667,2.3333333,3.6666667,2.3333333,26.666666,26.666666,26.666666,26.666666,,2.6666667,3.3333333,3.3333333,2.6666667,3.0,3.0,3.0,,50.0,50.0,,,,1.3333334,2.3333333,2.3333333,1.6666666,,,22.916666,22.916666,,,,6.0,,,2.0,2.6666667,2.5,2.6666667,4.3333335,,,,,,0.0,0.6666667,0.33333334,0.0,0.0,,,,,,,0.33333334,0.0,0.0,0.33333334,0.33333334,0.33333334,0.0,0.0,0.0,0.6666667,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG_20032016_P1,"Congo, Republic of",COG,2016.0,2016-03-20,Presidential,9.0,,6,5,0,2,5718.7891,1,2,0,,25.000347,22.959183,,,26.818645,25.806051,24.176863,36.458332,20.833334,25.509258,26.921297,20.949074,33.333332,20.833334,1.5555556,,4.375,1.625,4.4444447,1.5555556,4.625,1.375,,,,,11.458333,12.962963,,,,1.2222222,1.625,1.8888888,1.4444444,13.28125,13.628472,13.28125,13.628472,,4.142857,1.8571428,4.285714,1.7142857,2.4285715,25.0,25.0,25.0,25.0,,4.375,1.625,4.375,1.625,4.428571,1.5714285,,,16.666666,15.178572,,,,2.5714285,3.4285715,3.4444444,3.1111112,3.2857144,2.7142856,4.3333335,1.6666666,,,,48.333332,46.825397,,,,1.8888888,4.5555553,1.4444444,1.5555556,1.6666666,3.0,,,,22.777779,22.777779,,,,1.5555556,1.5,1.375,4.571429,1.4285715,4.5555553,1.4444444,4.142857,1.8571428,10.0,11.517857,15.0,13.169642,,4.1666665,1.8333334,4.5555553,1.4444444,3.375,3.25,2.8,1.8333334,1.5,,,,,,39.583332,35.56713,,,,2.2857144,3.3333333,1.5555556,3.75,2.25,3.25,2.75,32.857143,35.873016,32.857143,35.873016,,4.888889,1.1111112,4.111111,1.8888888,4.111111,1.8888888,1.8888888,,17.36111,17.36111,,,,1.2222222,2.25,1.5,1.3333334,,,14.84375,14.409722,,,,7.6666665,,,1.8888888,1.8888888,2.1111112,2.8888888,1.5555556,,,,,2.2857144,0.0,0.7777778,0.11111111,0.0,0.11111111,,,,,,,0.0,0.0,0.0,0.33333334,0.11111111,0.0,0.0,0.0,0.0,0.44444445,4.5,8.5,,4.5555553,5.888889,8.333333,,,,,13.555555,4.2222223,4.2222223,23.666666,1.4444444,24.88889,24.88889,35.11111,35.11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG_30072017_L2,"Congo, Republic of",COG,2017.0,2017-07-30,Legislative,2.0,,7,5,0,2,5718.788841,1,2,0,,,,,,27.278645,13.28125,43.75,18.75,33.333332,19.53125,18.75,21.875,15.625,33.333332,1.5,,,,5.0,1.0,5.0,1.0,,,,,,,,,,1.0,3.0,2.0,2.0,31.25,25.0,31.25,25.0,,5.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,1.0,5.0,1.0,,,,,,,,,,4.5,1.5,4.0,2.5,,,4.5,1.5,,,,,,,,,2.0,5.0,1.0,1.0,3.0,4.0,,,,30.0,30.0,,,,2.0,2.0,1.0,,,4.0,2.0,,,,,,,,3.0,3.0,,,4.0,2.0,,,1.0,,,,,,,,,,,2.0,3.0,1.0,3.0,3.0,3.0,3.0,35.0,35.0,35.0,35.0,,4.0,2.0,3.0,3.0,3.0,3.0,2.0,,37.5,37.5,,,,2.0,3.0,3.0,2.5,,,43.75,40.625,,,,6.0,,,3.0,1.5,1.5,2.5,3.0,,,,,2.5,0.0,0.5,0.5,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,,,,,5.5,5.0,1.5,,,,,3.0,,,,,,98.0,98.0,2.5,2.5,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG_21032021_P1,"Congo, Republic of",COG,2021.0,2021-03-21,Presidential,4.0,,7,6,0,2,3616.8645081239206,1,2,0,,28.854876,35.204082,,,21.467012,21.458334,24.82639,18.75,20.833332,20.898436,20.572918,24.82639,18.75,19.444445,3.0,,3.6666667,2.3333333,4.0,2.0,3.6666667,2.3333333,,,,,30.555555,30.555555,,,,1.5,2.3333333,1.5,2.0,20.833334,20.833332,20.833334,20.833332,,2.0,4.0,2.5,3.5,3.3333333,69.44444,65.27778,69.44444,65.27778,,3.25,2.75,3.25,2.75,3.25,2.75,,,43.75,43.75,,,,4.75,1.25,3.25,2.25,4.75,1.25,4.0,2.0,,,,25.0,25.0,,,,2.0,5.0,1.0,1.5,2.3333333,4.0,,,,30.0,29.166666,,,,1.0,1.0,1.0,4.25,1.75,4.5,1.5,3.75,2.25,6.25,6.25,10.416666,10.416666,,3.25,2.75,4.5,1.5,2.5,2.0,1.25,1.5,1.25,,,,,,22.916668,22.916668,,,,1.6666666,3.0,1.25,4.25,1.75,3.25,2.75,31.666666,27.083334,31.666666,27.083334,,4.0,2.0,2.5,3.5,2.0,4.0,1.6666666,,50.0,44.791668,,,,1.5,1.25,1.0,2.0,,,10.9375,10.9375,,,,7.75,,,3.5,3.0,3.0,2.75,3.25,,,,,2.5,0.5,0.5,0.25,0.75,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.25,0.0,4.75,8.25,,,,,7.0,4.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG_10072022_L1,"Congo, Republic of",COG,2022.0,2022-07-10,Legislative,2.0,,7,6,0,2,3553.28798535731,1,2,0,,33.418365,43.877552,,,31.649303,35.625,28.472221,25.0,37.5,25.64236,35.208332,23.61111,18.75,25.0,2.5,,3.5,2.5,3.5,2.5,3.5,2.5,,,,,37.5,37.5,,,,2.0,3.0,2.0,2.5,34.375,34.375,34.375,34.375,,2.5,3.5,2.5,3.5,3.5,62.5,62.5,62.5,62.5,,4.5,1.5,4.5,1.5,2.0,4.0,,,41.666668,33.333336,,,,3.5,2.5,1.0,1.5,3.0,3.0,3.5,2.5,,,,27.5,27.5,,,,2.5,4.5,1.5,3.0,1.5,4.0,,,,40.0,37.5,,,,1.0,1.0,1.0,2.0,4.0,5.0,1.0,4.0,2.0,15.0,15.0,16.666666,16.666666,,2.0,4.0,4.0,2.0,2.5,2.0,1.5,2.0,1.0,,,,,,41.666668,33.333336,,,,2.5,1.5,2.0,2.0,4.0,2.0,4.0,55.0,45.0,55.0,45.0,,3.5,2.5,2.0,4.0,2.0,4.0,2.0,,50.0,53.125,,,,1.5,2.5,1.0,1.5,,,31.25,15.625,,,,5.0,,,2.5,3.0,3.0,3.0,3.0,,1.0,,,3.5,0.5,0.0,0.5,0.5,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,5.0,10.0,,,,,7.0,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0
